District,Mandal,Date,Rain (mm),Min Temp (°C),Max Temp (°C),Min Humidity (%),Max Humidity (%),Min Wind Speed (Kmph),Max Wind Speed (Kmph),Month,Year
Adilabad,Adilabad Urban,27-Feb-22,0,11.9,38,7.2,100,0,65.1,2,2022
Adilabad,Adilabad Urban,28-Feb-22,0,12.3,38.7,10.4,100,0,65.1,2,2022
Adilabad,Bazarhathnoor,1-Feb-22,0,8.7,36.8,6.8,100,0,65.1,2,2022
Adilabad,Bazarhathnoor,2-Feb-22,0,8.6,36.5,8.1,100,0,65.1,2,2022
Adilabad,Bazarhathnoor,3-Feb-22,0,11.1,36.6,12.2,100,0,65.1,2,2022
Adilabad,Bazarhathnoor,4-Feb-22,0,11.3,36.1,19.8,100,0,65.1,2,2022
Adilabad,Bazarhathnoor,5-Feb-22,0,6,34.5,8.4,100,0,65.1,2,2022
Adilabad,Bazarhathnoor,6-Feb-22,0,6.7,35.8,9.7,100,0,65.1,2,2022
Adilabad,Bazarhathnoor,7-Feb-22,0,9.7,36.9,7.8,100,0,65.1,2,2022
Adilabad,Bazarhathnoor,8-Feb-22,0,12.7,36.3,18.8,100,0,65.1,2,2022
Adilabad,Bazarhathnoor,9-Feb-22,0,15.4,36.5,23.7,100,0,67.4,2,2022
Adilabad,Bazarhathnoor,10-Feb-22,0,14.2,34.6,24.5,100,0,65.1,2,2022
Adilabad,Bazarhathnoor,11-Feb-22,0,11.7,34.7,21.9,100,0,65.1,2,2022
Adilabad,Bazarhathnoor,12-Feb-22,0,8,36.5,21.6,100,0,65.1,2,2022
Adilabad,Bazarhathnoor,13-Feb-22,0,7.3,36.2,13.6,100,0,57.5,2,2022
Adilabad,Bazarhathnoor,14-Feb-22,0,8.8,36.4,9.2,100,0,65.1,2,2022
Adilabad,Bazarhathnoor,15-Feb-22,0,11.7,36.3,12.5,100,0,65.1,2,2022
Adilabad,Bazarhathnoor,16-Feb-22,0,14.3,35.1,18.1,100,0,65.1,2,2022
Adilabad,Bazarhathnoor,17-Feb-22,1.2,13.5,36.4,18.2,100,0,65.1,2,2022
Adilabad,Bazarhathnoor,18-Feb-22,0,15.5,36.1,15.2,100,0,65.1,2,2022
Adilabad,Bazarhathnoor,19-Feb-22,0,12.5,36.5,20.9,100,0,65.1,2,2022
Adilabad,Bazarhathnoor,20-Feb-22,0,13.6,37.2,9.1,100,0,63.6,2,2022
Adilabad,Bazarhathnoor,21-Feb-22,0,10,37.2,15.5,100,0,65.1,2,2022
Adilabad,Bazarhathnoor,22-Feb-22,0,10.2,39.2,7.2,100,0,65.1,2,2022
Adilabad,Bazarhathnoor,23-Feb-22,0,11.5,38.7,6.9,100,0,65.1,2,2022
Adilabad,Bazarhathnoor,24-Feb-22,0,13.2,37.4,13.2,100,0,65.1,2,2022
