District,Mandal,Date,Rainfall (mm),temp_min (⁰C),temp_max (⁰C),humidity_min (%),Humidity_max (%),wind_speed_min (Kmph),wind_speed_max (Kmph),Month,Year
Adilabad,Bheempoor,01-07-2019,3.5,23.9,30.1,74.2,94.6,0.6,2.6,7,2019
Adilabad,Bheempoor,02-07-2019,0,23.5,30.9,68.2,91.8,0.1,2.6,7,2019
Adilabad,Bheempoor,03-07-2019,40.5,25,32.4,67.2,95.3,0.2,3.9,7,2019
Adilabad,Bheempoor,04-07-2019,20,25.2,31.5,66.6,96.3,0,3.1,7,2019
Adilabad,Bheempoor,05-07-2019,1,26.2,33.8,57.9,92.5,0.2,3.5,7,2019
Adilabad,Bheempoor,06-07-2019,8.5,25.2,33.6,55.9,91.2,0.7,3.3,7,2019
Adilabad,Bheempoor,07-07-2019,1.8,25.5,32.9,65.6,92.1,0.2,3.3,7,2019
Adilabad,Bheempoor,08-07-2019,0,25.7,32.7,64.6,87.6,0.2,3.9,7,2019
Adilabad,Bheempoor,09-07-2019,6.8,25.2,33.8,59.3,94.5,0.1,4.5,7,2019
Adilabad,Bheempoor,10-07-2019,16.3,24,32.2,65.4,96.6,0,4,7,2019
Adilabad,Bheempoor,11-07-2019,0,26.9,35.2,54.5,81.6,0.2,2.6,7,2019
Adilabad,Bheempoor,12-07-2019,8.8,24.9,32.4,67.8,91.9,0.1,3.3,7,2019
Adilabad,Bheempoor,13-07-2019,0,27.1,35.1,54.8,80.4,0,2.6,7,2019
Adilabad,Bheempoor,14-07-2019,3.5,26.2,36.7,45.5,94.6,0,2.8,7,2019
Adilabad,Bheempoor,15-07-2019,0.8,26.9,36.5,48.2,93,0,3.1,7,2019
Adilabad,Bheempoor,16-07-2019,0,25.6,36.5,42.1,86.1,0,3.4,7,2019
Adilabad,Bheempoor,17-07-2019,0,26.4,37,44.7,78,0,10.6,7,2019
Adilabad,Bheempoor,18-07-2019,0,27.6,37.9,41.9,72.9,0,15.3,7,2019
Adilabad,Bheempoor,19-07-2019,0,25.6,38.2,39.1,90.1,0,15.5,7,2019
Adilabad,Bheempoor,20-07-2019,0,27.1,36.8,51.4,86.2,0,5.6,7,2019
Adilabad,Bheempoor,21-07-2019,11,25,34.4,63.6,98,0,4.7,7,2019
Adilabad,Bheempoor,22-07-2019,0,27.1,36.4,56.9,92.6,0,2.8,7,2019
Adilabad,Bheempoor,23-07-2019,0,27.7,36.4,54.3,90.7,0,5.2,7,2019
Adilabad,Bheempoor,24-07-2019,0,28,37.1,54.3,80.7,0,7.8,7,2019
Adilabad,Bheempoor,25-07-2019,0,28.2,37.2,51.8,79.2,0,5.4,7,2019
Adilabad,Bheempoor,26-07-2019,6.2,24.9,34.5,58.2,96.5,0,11.5,7,2019
Adilabad,Bheempoor,27-07-2019,7.4,24.3,27.3,85.8,97.8,0,1.9,7,2019
Adilabad,Bheempoor,28-07-2019,20,23.8,28.1,81.7,98.1,0,2.7,7,2019
Adilabad,Bheempoor,29-07-2019,11.4,24.2,28.4,84.4,97.9,0,6.1,7,2019
Adilabad,Bheempoor,30-07-2019,92.4,23.1,25,96.6,99.2,0,2.2,7,2019
Adilabad,Bheempoor,31-07-2019,33.2,23.3,25,93.2,98.6,0,3.7,7,2019
Adilabad,Bheempoor,01-08-2019,5.4,24.5,29.5,79.3,98.9,0,7.8,8,2019
Adilabad,Bheempoor,02-08-2019,0.5,24.9,28.5,83.2,96.4,0,2.9,8,2019
Adilabad,Bheempoor,03-08-2019,9.3,24.5,28.4,81,95.4,0.9,2.7,8,2019
Adilabad,Bheempoor,04-08-2019,7.8,24.4,26.7,82.8,98.3,0.2,3.5,8,2019
Adilabad,Bheempoor,05-08-2019,0,26.2,31.3,73.3,83.3,0.8,3.4,8,2019
Adilabad,Bheempoor,06-08-2019,0,24.9,33,70.8,89.6,0.7,3.4,8,2019
Adilabad,Bheempoor,07-08-2019,2.3,25.1,30.6,73.6,94,0.2,3.5,8,2019
Adilabad,Bheempoor,08-08-2019,11,24.7,28,86.5,95,0.7,2.8,8,2019
Adilabad,Bheempoor,09-08-2019,27.3,24.5,26.3,83.7,96.7,0.5,4.2,8,2019
Adilabad,Bheempoor,10-08-2019,0,26.5,31.9,68.9,87.4,0.4,3.6,8,2019
Adilabad,Bheempoor,11-08-2019,0,24.7,33.1,62.1,94.9,0,3.2,8,2019
Adilabad,Bheempoor,12-08-2019,0,25,34,62.6,94.6,0,2.1,8,2019
Adilabad,Bheempoor,13-08-2019,14,26,32.9,63,96.5,0,2.5,8,2019
Adilabad,Bheempoor,14-08-2019,9,24.5,28.8,80.1,97.6,0,1.8,8,2019
Adilabad,Bheempoor,15-08-2019,0,25.6,32.1,69.2,96.1,0,2.8,8,2019
Adilabad,Bheempoor,16-08-2019,0,25.9,33.7,60.8,94.5,0,3.1,8,2019
Adilabad,Bheempoor,17-08-2019,0,24.2,33.7,57.8,96.4,0,2.1,8,2019
Adilabad,Bheempoor,18-08-2019,0,25.6,34.1,57.9,95.3,0,1.7,8,2019
Adilabad,Bheempoor,19-08-2019,0,24.9,32.9,59.4,91.8,0,2.3,8,2019
Adilabad,Bheempoor,20-08-2019,0,25.4,33.2,65.4,91.6,0.2,2.4,8,2019
Adilabad,Bheempoor,21-08-2019,0.5,25.6,33.2,64.7,94.6,0,2.7,8,2019
Adilabad,Bheempoor,22-08-2019,0,25.5,32.6,68.9,88.8,0.3,2.5,8,2019
Adilabad,Bheempoor,23-08-2019,2,24.4,31.3,70.6,96.7,0,2.3,8,2019
Adilabad,Bheempoor,24-08-2019,0,24.8,29.2,78.9,95.6,0,2.1,8,2019
Adilabad,Bheempoor,25-08-2019,4,25.2,31.6,70,93.6,0.2,2.5,8,2019
Adilabad,Bheempoor,26-08-2019,0,24.6,27.9,79.3,94.3,0.3,3.1,8,2019
Adilabad,Bheempoor,27-08-2019,1.8,22.4,29.3,74.1,96.1,0,2.7,8,2019
Adilabad,Bheempoor,28-08-2019,6.3,23.9,29.5,73,97.4,0,2.8,8,2019
Adilabad,Bheempoor,29-08-2019,0,24.1,33.9,53.7,97,0,2,8,2019
Adilabad,Bheempoor,30-08-2019,0,25.9,33.3,63.8,95,0,1.7,8,2019
Adilabad,Bheempoor,31-08-2019,0,25.2,33.6,63.1,93.8,0,1.8,8,2019
Adilabad,Bheempoor,01-09-2019,25,24.3,33,65,96.9,0.1,3.2,9,2019
Adilabad,Bheempoor,02-09-2019,0,24.7,31.8,72.7,93.4,0.1,3.2,9,2019
Adilabad,Bheempoor,03-09-2019,0,25.4,29.6,78.3,93.5,0.1,1.9,9,2019
Adilabad,Bheempoor,04-09-2019,4.8,24.6,29.8,78.7,96.6,0,1.9,9,2019
Adilabad,Bheempoor,05-09-2019,12.3,24.3,26.5,89.9,97.2,0.1,1.2,9,2019
Adilabad,Bheempoor,06-09-2019,2.3,25,32.4,71,97,0,2.5,9,2019
Adilabad,Bheempoor,07-09-2019,4,24.6,27.9,84.8,95.9,0,2.3,9,2019
Adilabad,Bheempoor,08-09-2019,0,25.5,30.1,79.1,94.2,0.2,2.3,9,2019
Adilabad,Bheempoor,09-09-2019,6.5,24.6,30.5,74.2,97.5,0,2.6,9,2019
Adilabad,Jainad,01-07-2019,3.8,23.6,29.6,79.4,96.4,0,13.2,7,2019
Adilabad,Jainad,02-07-2019,6.5,23.3,30.5,73.8,92.5,0,6.8,7,2019
Adilabad,Jainad,03-07-2019,30.9,24.5,32.3,69.8,97.4,4.4,29.1,7,2019
Adilabad,Jainad,04-07-2019,12,24.9,31.9,70.5,98,0.1,17.7,7,2019
Adilabad,Jainad,05-07-2019,0.5,26,34,57.5,93.3,0,15.1,7,2019
Adilabad,Jainad,06-07-2019,14.7,24,31.7,67.4,96.6,0.3,19.2,7,2019
Adilabad,Jainad,07-07-2019,6,25.4,33.4,64.1,93.7,1.7,16.9,7,2019
Adilabad,Jainad,08-07-2019,0.2,25.6,32.3,66.4,89.8,0.1,19.4,7,2019
Adilabad,Jainad,09-07-2019,15.5,23.6,33.3,65,97.7,0,20.4,7,2019
Adilabad,Jainad,10-07-2019,8,23.4,32.7,64.7,98.5,0,16.2,7,2019
Adilabad,Jainad,11-07-2019,25.4,25.1,35.3,55.6,94.1,0.2,15.2,7,2019
Adilabad,Jainad,12-07-2019,2.5,25.4,31.1,77.3,95.5,0.7,13.7,7,2019
Adilabad,Jainad,13-07-2019,9.7,25.8,33.9,62.8,88.3,3.5,14.7,7,2019
Adilabad,Jainad,14-07-2019,1.3,27.3,36.4,50.5,85.5,0,16.6,7,2019
Adilabad,Jainad,15-07-2019,7.5,25.8,37,47.4,92.1,0,16.5,7,2019
Adilabad,Jainad,16-07-2019,0,25.9,36,48.3,84.5,0,13.1,7,2019
Adilabad,Jainad,17-07-2019,0,25.5,37.4,42.7,80.4,0,24.1,7,2019
Adilabad,Jainad,18-07-2019,0,25.8,38,42,75.8,0,13.9,7,2019
Adilabad,Jainad,19-07-2019,0,25.2,38.3,37.8,91.8,0,42.4,7,2019
Adilabad,Jainad,20-07-2019,0,26.9,36.5,47.5,84.7,0,9,7,2019
Adilabad,Jainad,21-07-2019,5.2,25.2,34.5,60.8,97,0,14.3,7,2019
Adilabad,Jainad,22-07-2019,0,27.2,36.5,55.7,88,0,14.5,7,2019
Adilabad,Jainad,23-07-2019,0,27.8,36.4,51.8,86.5,0,14,7,2019
Adilabad,Jainad,24-07-2019,0,28,37,51.6,81,0,14.9,7,2019
Adilabad,Jainad,25-07-2019,0,28.3,37.1,51.6,77.5,3,14.3,7,2019
Adilabad,Jainad,26-07-2019,4.2,24.8,33.8,59.8,95.8,2.7,15,7,2019
Adilabad,Jainad,27-07-2019,4.7,23.8,27.1,85.1,94.3,7.1,14.4,7,2019
Adilabad,Jainad,28-07-2019,20,23.8,28.1,82.1,98.2,5.9,17.4,7,2019
Adilabad,Jainad,29-07-2019,34.1,23.8,28.1,85.9,98.4,3.1,15.9,7,2019
Adilabad,Jainad,30-07-2019,135.4,23.1,25,96,99.4,0.6,17.1,7,2019
Adilabad,Jainad,31-07-2019,34.5,23.3,24.8,92.4,98.7,0.3,18.7,7,2019
Adilabad,Jainad,01-08-2019,6.7,24,29.7,79.3,98.9,0,16,8,2019
Adilabad,Jainad,02-08-2019,7.7,24.5,28.6,82,97.3,3.8,13.6,8,2019
Adilabad,Jainad,03-08-2019,12.7,24.1,27.2,87.6,99,6.2,15.2,8,2019
Adilabad,Jainad,04-08-2019,30.6,24.1,26.4,86.1,99.4,6.8,15,8,2019
Adilabad,Jainad,05-08-2019,0,25.6,33.2,72.6,88.2,5.9,14,8,2019
Adilabad,Jainad,06-08-2019,0.6,25.5,32.2,73.1,94.3,5.3,13.3,8,2019
Adilabad,Jainad,07-08-2019,3.9,24.6,28.6,84,97.5,2.4,17.5,8,2019
Adilabad,Jainad,08-08-2019,13.3,24,27.6,89.3,99,4.1,12.7,8,2019
Adilabad,Jainad,09-08-2019,40.2,24,26.5,85.8,99,5.1,24.7,8,2019
Adilabad,Jainad,10-08-2019,0,25.4,31,79.1,95.9,3.7,13.3,8,2019
Adilabad,Jainad,11-08-2019,0,24.6,33.7,66.7,91.4,0,15.8,8,2019
Adilabad,Jainad,12-08-2019,0,24.8,33.6,63.4,96.2,0,12.7,8,2019
Adilabad,Jainad,13-08-2019,1.5,25,32.2,69.2,97.3,0,12.5,8,2019
Adilabad,Jainad,14-08-2019,19.9,23.5,28.6,81.9,99.6,0,7.4,8,2019
Adilabad,Jainad,15-08-2019,0.2,25,31.9,71.4,98.1,0,11.6,8,2019
Adilabad,Jainad,16-08-2019,0,25.9,33.7,65,95.4,0.9,12.9,8,2019
Adilabad,Jainad,17-08-2019,0,24.6,34.3,62.2,97.7,0,2.7,8,2019
Adilabad,Jainad,18-08-2019,0,25.3,33.8,60.8,97.7,0,2.3,8,2019
Adilabad,Jainad,19-08-2019,0,24.7,33.4,61.8,96.5,0,2.8,8,2019
Adilabad,Jainad,20-08-2019,4,25.5,34.4,65.8,89.5,0.2,3.2,8,2019
Adilabad,Jainad,21-08-2019,1.9,25.3,32.2,70.8,97.1,0,3.1,8,2019
Adilabad,Jainad,22-08-2019,0,25.1,31.9,71.3,94.3,1.8,4.1,8,2019
Adilabad,Jainad,23-08-2019,0.7,24.5,31.5,74.3,96.8,0,4.2,8,2019
Adilabad,Jainad,24-08-2019,0.3,24.9,27.9,86.6,96.2,0,2.9,8,2019
Adilabad,Jainad,25-08-2019,0.5,24.7,31.8,72.8,94.8,0.2,4.1,8,2019
Adilabad,Jainad,26-08-2019,0.2,24.7,28.9,78,92.6,0.4,5.8,8,2019
Adilabad,Jainad,27-08-2019,0.2,23.3,29.4,75.5,97.8,0,9.5,8,2019
Adilabad,Jainad,28-08-2019,2.1,23.8,30.5,75.7,99.4,0,10.8,8,2019
Adilabad,Jainad,29-08-2019,0,24.5,34.2,59.2,98.2,0,12.9,8,2019
Adilabad,Jainad,30-08-2019,0,25.2,34,63,97.5,0,10.9,8,2019
Adilabad,Jainad,31-08-2019,1.8,25,34.8,63.3,96.7,0.1,9.1,8,2019
Adilabad,Jainad,01-09-2019,2.9,24.4,33.1,70.1,98.9,0,8.6,9,2019
Adilabad,Jainad,02-09-2019,0.3,24.1,31.9,74.4,96.1,0,10.9,9,2019
Adilabad,Jainad,03-09-2019,0,24.8,29.1,82.8,96.8,0,8.7,9,2019
Adilabad,Jainad,04-09-2019,12.4,24.3,29.7,80.4,99.6,0,9.5,9,2019
Adilabad,Jainad,05-09-2019,13.2,24.3,26.1,95.3,99.9,0,8.3,9,2019
Adilabad,Jainad,06-09-2019,0.5,24.2,31.6,76.6,97.7,0,10.2,9,2019
Adilabad,Jainad,07-09-2019,4.1,24.1,27.5,88.2,98.4,0,11,9,2019
Adilabad,Jainad,08-09-2019,0.8,25.4,29.7,83.7,94.7,3.5,11.1,9,2019
Adilabad,Jainad,09-09-2019,7.8,24.5,30.4,78.1,99.9,0,12.8,9,2019
Adilabad,Bela,01-07-2019,8.7,24,29.2,81,92.8,0,9.5,7,2019
Adilabad,Bela,02-07-2019,27.2,23.9,29.4,80.2,90,0,2.9,7,2019
Adilabad,Bela,03-07-2019,19.9,24.8,30.1,81.5,89.2,0,14.6,7,2019
Adilabad,Bela,04-07-2019,12.9,25.1,31.2,75.8,86.9,0,18,7,2019
Adilabad,Bela,05-07-2019,4.6,26.2,33.1,70.2,85.5,0,18.9,7,2019
Adilabad,Bela,06-07-2019,2.4,25,31,74.6,85.2,0,23,7,2019
Adilabad,Bela,07-07-2019,4.1,26.1,31.9,71.8,82.4,0,12.9,7,2019
Adilabad,Bela,08-07-2019,0,25.7,33.1,69.5,84.3,0,23.9,7,2019
Adilabad,Bela,09-07-2019,1.3,24.8,33.4,67.6,85.3,0,20.6,7,2019
Adilabad,Bela,10-07-2019,9.3,24.7,33,68.8,85,0,15.4,7,2019
Adilabad,Bela,11-07-2019,17,25,34.6,64.2,85.5,0,13.9,7,2019
Adilabad,Bela,12-07-2019,0.8,25,31.7,71.1,85.5,0,13.5,7,2019
Adilabad,Bela,13-07-2019,0,26.1,33.5,69,84.7,0,13.9,7,2019
Adilabad,Bela,14-07-2019,2.4,26.3,34.6,61.2,82.3,0,12.6,7,2019
Adilabad,Bela,15-07-2019,5.4,26,35.4,58.2,81.2,0,16.9,7,2019
Adilabad,Bela,16-07-2019,0,26.3,34.3,58.7,79,0,15.1,7,2019
Adilabad,Bela,17-07-2019,0,26.2,35.5,52.5,76.8,0,4,7,2019
Adilabad,Bela,18-07-2019,0,27.2,36.2,50.4,73.1,0,6.3,7,2019
Adilabad,Bela,19-07-2019,1.5,25.6,36.5,48,80.6,0,8.3,7,2019
Adilabad,Bela,20-07-2019,0,24.9,35.6,62.3,88.7,0,7.4,7,2019
Adilabad,Bela,21-07-2019,1.8,24.6,32.5,73.4,96,0,3.8,7,2019
Adilabad,Bela,22-07-2019,1,25.7,35.4,67.1,88.5,0,9.6,7,2019
Adilabad,Bela,23-07-2019,0,27,35.5,61.7,82.2,0,4.8,7,2019
Adilabad,Bela,24-07-2019,0,27.1,35.1,61.5,81.1,0,9.6,7,2019
Adilabad,Bela,25-07-2019,0,27.7,35.3,59.2,75.4,0,6.5,7,2019
Adilabad,Bela,26-07-2019,7.7,24.9,33.3,62.8,84.7,0,36.1,7,2019
Adilabad,Bela,27-07-2019,2.9,23.7,26.9,82.5,93.3,3.5,19.6,7,2019
Adilabad,Bela,28-07-2019,20.6,23.3,28,83.4,90.6,7.4,15.3,7,2019
Adilabad,Bela,29-07-2019,45.4,23.9,26.6,88.8,96.9,0,14.3,7,2019
Adilabad,Bela,30-07-2019,85.1,22.6,25.4,90.6,97.4,0,10.6,7,2019
Adilabad,Bela,31-07-2019,23,23.1,26.6,88.3,95.4,0,14.1,7,2019
Adilabad,Bela,01-08-2019,6.6,24.3,30.6,80.8,95.1,0,14.6,8,2019
Adilabad,Bela,02-08-2019,15.3,24.2,28.2,82.1,99.5,0,8.7,8,2019
Adilabad,Bela,03-08-2019,17.5,24.2,26.4,91.5,96.4,0.1,14.7,8,2019
Adilabad,Bela,04-08-2019,15.4,23.5,25.9,90.9,99.7,7.9,15,8,2019
Adilabad,Bela,05-08-2019,0.4,24.8,31.7,81.5,92.4,0.1,17.1,8,2019
Adilabad,Bela,06-08-2019,0,25.6,32,81.8,94.5,0.2,14.6,8,2019
Adilabad,Bela,07-08-2019,6.7,24.6,28.3,88.9,95.6,0.2,9.6,8,2019
Adilabad,Bela,08-08-2019,11.5,24.3,27,93.2,96.9,1.8,19.6,8,2019
Adilabad,Bela,09-08-2019,23.1,23.9,27.1,88.4,97.8,0.5,11.1,8,2019
Adilabad,Bela,10-08-2019,1.5,25.6,30.9,81.3,95.2,0.3,3,8,2019
Adilabad,Bela,11-08-2019,0,25.4,33.2,72.2,92.5,0,2.5,8,2019
Adilabad,Bela,12-08-2019,0,24.3,33.3,73.8,97.5,0,2,8,2019
Adilabad,Bela,13-08-2019,0,26,31.6,78.2,90,0,2.8,8,2019
Adilabad,Bela,14-08-2019,26.6,23.3,28.1,85.7,99.5,0,2.2,8,2019
Adilabad,Bela,15-08-2019,0.7,24.5,30.6,78.4,99,0,2.6,8,2019
Adilabad,Bela,16-08-2019,0.2,25.8,33.3,72.1,98,0,2.1,8,2019
Adilabad,Bela,17-08-2019,0,25.4,33.7,66.5,94.2,0,1.8,8,2019
Adilabad,Bela,18-08-2019,0,25.7,33.1,71.2,91,0,1.4,8,2019
Adilabad,Bela,19-08-2019,0,25.4,32.1,73.8,90.2,0,2.7,8,2019
Adilabad,Bela,20-08-2019,0.5,25.3,32.5,75.1,91,0,9.4,8,2019
Adilabad,Bela,21-08-2019,4.2,25.3,31.7,78.5,92.5,0,17.3,8,2019
Adilabad,Bela,22-08-2019,0.7,25.1,31.9,80.7,91.6,0,11.1,8,2019
Adilabad,Bela,23-08-2019,0.2,24.9,30.7,80.3,92.3,0,15.3,8,2019
Adilabad,Bela,24-08-2019,2,25.1,27.6,88.8,92.7,0,9.8,8,2019
Adilabad,Bela,25-08-2019,0.2,24.7,30.7,76.6,92.2,0.1,15.2,8,2019
Adilabad,Bela,26-08-2019,0,24.4,28.4,84.4,92.6,0.1,2.2,8,2019
Adilabad,Bela,27-08-2019,0.2,23.3,28.8,82.4,95.2,0,2.3,8,2019
Adilabad,Bela,28-08-2019,0,23.6,30.1,75.6,96.7,0,2,8,2019
Adilabad,Bela,29-08-2019,0,24.7,33.2,65,94,0,1.9,8,2019
Adilabad,Bela,30-08-2019,0.7,25.9,33.1,66.1,93.6,0,15,8,2019
Adilabad,Bela,31-08-2019,11.2,24.7,33.3,74.5,93.8,0,11.7,8,2019
Adilabad,Bela,01-09-2019,4.3,24.4,32.3,80.4,96.8,0,5.4,9,2019
Adilabad,Bela,02-09-2019,0.2,24,31.2,77.5,95.3,0.2,2.5,9,2019
Adilabad,Bela,03-09-2019,0.7,23.9,28.9,84,96.6,0.3,1.9,9,2019
Adilabad,Bela,04-09-2019,13,23.7,28.6,86.1,98.6,0.1,13,9,2019
Adilabad,Bela,05-09-2019,6.2,24.3,26.4,90.1,98.4,0.1,9.7,9,2019
Adilabad,Bela,06-09-2019,2.4,23.8,31.5,78.7,97.2,0,2.2,9,2019
Adilabad,Bela,07-09-2019,3.7,23.9,27.6,88.2,97.4,0.1,1.7,9,2019
Adilabad,Bela,08-09-2019,0,25.7,29.5,85.8,92.4,0,1.9,9,2019
Adilabad,Bela,09-09-2019,6.7,24.5,29.9,84.2,98.7,0,2,9,2019
Adilabad,Gadiguda,01-07-2019,16.8,22.7,28.6,88.7,98.4,1.8,12.1,7,2019
Adilabad,Gadiguda,02-07-2019,0,22.3,28,85.5,95.3,0,11.1,7,2019
Adilabad,Gadiguda,03-07-2019,44.4,23.6,29.3,86.2,95.2,0.2,14.6,7,2019
Adilabad,Gadiguda,04-07-2019,20.2,24.2,29.3,83,90.3,7.7,12.1,7,2019
Adilabad,Gadiguda,05-07-2019,2,25.3,31.4,73.2,99.1,0,9.3,7,2019
Adilabad,Gadiguda,06-07-2019,28.5,24.4,30.5,78.4,86.7,2.5,14,7,2019
Adilabad,Gadiguda,07-07-2019,4,24.7,30.4,78.5,100,1.9,15.2,7,2019
Adilabad,Gadiguda,08-07-2019,0.5,25.1,30.8,75.1,93.5,0.4,14,7,2019
Adilabad,Gadiguda,09-07-2019,6.4,23.6,31.6,77,93.2,0.6,13.5,7,2019
Adilabad,Gadiguda,10-07-2019,4.5,23.5,31.4,73.7,92.6,0,15.8,7,2019
Adilabad,Gadiguda,11-07-2019,32.3,23,33.3,72.2,100,0,13.3,7,2019
Adilabad,Gadiguda,12-07-2019,3.3,22.4,29.5,88.3,100,0,15.2,7,2019
Adilabad,Gadiguda,13-07-2019,0,25.4,31.9,75.3,96.7,0,9.9,7,2019
Adilabad,Gadiguda,14-07-2019,0,25.4,33.5,62.7,97.7,0,9.6,7,2019
Adilabad,Gadiguda,15-07-2019,0,25.2,34.5,54.6,98.7,0,12.1,7,2019
Adilabad,Gadiguda,16-07-2019,0,23.8,34.3,47.3,98.2,0,13.3,7,2019
Adilabad,Gadiguda,17-07-2019,0.3,27,35.1,50.8,72.5,0,12,7,2019
Adilabad,Gadiguda,18-07-2019,0,27.4,36.1,51.5,69,0,12.6,7,2019
Adilabad,Gadiguda,19-07-2019,2.8,25.6,36.7,43.7,86.3,0,20,7,2019
Adilabad,Gadiguda,20-07-2019,2,23,36.7,67.1,89.2,0,7.2,7,2019
Adilabad,Gadiguda,21-07-2019,1.5,23.1,32.5,71.8,100,0,3.9,7,2019
Adilabad,Gadiguda,22-07-2019,0,25,34.4,69.1,100,0,6.5,7,2019
Adilabad,Gadiguda,23-07-2019,0,25.2,34.2,67.5,100,0,4,7,2019
Adilabad,Gadiguda,24-07-2019,0,25.7,35.7,55.8,97.2,0,6.8,7,2019
Adilabad,Gadiguda,25-07-2019,0,26.5,35.7,58.6,93.1,0,10.2,7,2019
Adilabad,Gadiguda,26-07-2019,0.5,22.4,32.6,65,100,0,14.8,7,2019
Adilabad,Gadiguda,27-07-2019,8.3,22.3,25.7,87.1,93.6,0,12.8,7,2019
Adilabad,Gadiguda,28-07-2019,31,23,26.7,85.1,100,0,12.8,7,2019
Adilabad,Gadiguda,29-07-2019,28.3,24.6,27.3,88.9,100,0,13.4,7,2019
Adilabad,Gadiguda,30-07-2019,50.3,21.9,25.3,95.6,100,2.8,19.2,7,2019
Adilabad,Gadiguda,31-07-2019,19,22,25.4,99.9,100,0,0.1,7,2019
Adilabad,Gadiguda,01-08-2019,8.4,23.4,29.1,86.6,99.7,0,12.2,8,2019
Adilabad,Gadiguda,02-08-2019,26.5,23.6,27,88.4,99.9,0,15.5,8,2019
Adilabad,Gadiguda,03-08-2019,28.5,22.6,24.8,94.3,99.9,5.7,16.8,8,2019
Adilabad,Gadiguda,04-08-2019,129.8,22.4,24,95.6,100,3.8,15.5,8,2019
Adilabad,Gadiguda,05-08-2019,0,23.5,29.8,95.6,97.7,3.4,13.9,8,2019
Adilabad,Gadiguda,06-08-2019,0,24.5,30.1,84.8,99.9,0.2,12.3,8,2019
Adilabad,Gadiguda,07-08-2019,16.6,23.9,26.6,90.5,96.5,0,9.7,8,2019
Adilabad,Gadiguda,08-08-2019,28.2,23.5,25.7,95,99.9,0.2,13.7,8,2019
Adilabad,Gadiguda,09-08-2019,7.3,24.7,25.6,93.7,99.9,0,14.6,8,2019
Adilabad,Gadiguda,10-08-2019,2,23.6,28.7,91.4,100,0,12,8,2019
Adilabad,Gadiguda,11-08-2019,2.3,22.4,31.1,81.4,100,0,10.9,8,2019
Adilabad,Gadiguda,12-08-2019,0,22.9,31.8,76.6,100,0,11.5,8,2019
Adilabad,Gadiguda,13-08-2019,1,24.2,30.1,83.6,100,0,14.6,8,2019
Adilabad,Gadiguda,14-08-2019,19.5,22,26.6,88.9,100,0,10.9,8,2019
Adilabad,Gadiguda,15-08-2019,14.5,23.1,28.7,91.4,100,0,8.8,8,2019
Adilabad,Gadiguda,16-08-2019,0,23.7,31.3,80.8,100,0,8.1,8,2019
Adilabad,Gadiguda,17-08-2019,0,23.7,32,77.9,100,0,9.1,8,2019
Adilabad,Gadiguda,18-08-2019,0.5,23.6,31.7,76.8,100,0,8.1,8,2019
Adilabad,Gadiguda,19-08-2019,0,22.4,29.9,80.2,100,0,8.4,8,2019
Adilabad,Gadiguda,20-08-2019,7.3,23.5,31.6,80,100,0,10.8,8,2019
Adilabad,Gadiguda,21-08-2019,0.5,22.4,29.4,91.8,100,0,15.2,8,2019
Adilabad,Gadiguda,22-08-2019,0,24.3,29,94.8,100,0,12.2,8,2019
Adilabad,Gadiguda,23-08-2019,2.8,23.3,28.9,91.4,100,0,14,8,2019
Adilabad,Gadiguda,24-08-2019,3.3,23.6,26.2,86.8,99.7,0,1.2,8,2019
Adilabad,Gadiguda,25-08-2019,7.5,24.1,29.4,83.7,100,0.1,2.3,8,2019
Adilabad,Gadiguda,26-08-2019,4.2,23,27.4,90.4,100,0.1,2.2,8,2019
Adilabad,Gadiguda,27-08-2019,0,23,27.4,91.4,100,0,2.3,8,2019
Adilabad,Gadiguda,28-08-2019,1.3,22.2,30.6,78,100,0,1,8,2019
Adilabad,Gadiguda,29-08-2019,0,23,32.2,74.5,100,0,0.9,8,2019
Adilabad,Gadiguda,30-08-2019,32.5,24.9,30.8,72.1,100,0,0.2,8,2019
Adilabad,Gadiguda,31-08-2019,1,22.4,32.8,90.7,100,0,0.6,8,2019
Adilabad,Gadiguda,01-09-2019,0,23.4,30,95.3,100,0,8.4,9,2019
Adilabad,Gadiguda,02-09-2019,0,22.6,30.1,90.9,100,0,11.8,9,2019
Adilabad,Gadiguda,03-09-2019,27.3,22.4,26.1,85.8,100,0,2.7,9,2019
Adilabad,Gadiguda,04-09-2019,11.3,23.4,26.8,85.8,100,0,1.4,9,2019
Adilabad,Gadiguda,05-09-2019,1.5,22.4,26.1,95.8,100,0,9.6,9,2019
Adilabad,Gadiguda,06-09-2019,2.5,22.4,31,89.6,100,0,9,9,2019
Adilabad,Gadiguda,07-09-2019,9.3,22.4,26.3,98.2,100,0,0.2,9,2019
Adilabad,Gadiguda,08-09-2019,0,24.7,28,95.8,100,0,5.1,9,2019
Adilabad,Gadiguda,09-09-2019,0.8,24.1,28.4,93.1,100,0,11.4,9,2019
Adilabad,Narnoor,01-07-2019,8.4,22,26.2,87.6,100,1.8,12.1,7,2019
Adilabad,Narnoor,02-07-2019,15.2,21.4,27.1,80.2,100,0,11.1,7,2019
Adilabad,Narnoor,03-07-2019,36.6,22.5,28.8,80,100,0.2,14.6,7,2019
Adilabad,Narnoor,04-07-2019,20.2,22.4,27.9,77.9,90.2,7.7,12.1,7,2019
